Account_Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Assets,,,,,,,,,,,525124860,557062797,598754520
Total Deposit liabilities,,,,,,,,,,,416628664,397433523,419859304
Total Equity,,,,,,,,,,,,,
Total Liabilities,,,, ,,,,,,,29901243,43636047,41334456
Cash & Cash Equivalent,,,,,,,,,,,,,
Financial Investments,,,,,,,,,,,,6293778,26606944
Gross Loan Portfolio,,,,,,,,,,,256873835,338459421,341151981
Net Loan Portfolio,,,,,,,,,,,227759283,308794869,310887429
Current Year's Surplus,,,,,,,,,,,,,
Share Capital,,,,,,,,,,,,,
Statutory Reserve,,,,,,,,,,,17773272,20157669,23292669
