Account_Name,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Unnamed: 12
Total Assets,330498864.7,348243396.2,386160781.1,396343165.5,327625540.5,294994669.5,503019136.6,0,506985495.1,494525261.6,517209277.1,
Total Deposit liabilities,163736480.9,125698101.5,148858938.9,129602568.2,152609066.1,159082259.2,0,178558863.2,168380789.4,153351445.4,189358849.6,
Total Equity,64833818.28,67157782.75,67678941.35,63857154.55,70264643.14,0,0,251550057.4,215086751.5,253099655.3,271303934.4,
Total Liabilities,265665046,281085613,318481839.7,332486011,224730026.4,254646074.2,0,294003559.2,291898743.4,241560138.3,245905345.4,
Cash & Cash Equivalent,48159479.99,44757555.84,82710315.71,38420292.74,78421274,148425186.6,0,26254128.02,81167284.71,9508131.7,-11891251.95,
Financial Investments,0,0,0,0,0,0,0,0,0,0,0,
Gross Loan Portfolio,96723148.63,107070963.3,105894421,147398339,68793951.4,79430797.92,,220646237.1,187970704,173829766.4,202355749,
Net Loan Portfolio,84967805.63,94311039.75,93010285.07,133876410.6,51178525.43,60562074.67,0,200964245,173543849.9,160408239.3,189795652,
Current Year's Surplus,0,0,0,0,0,0,0,0,0,0,0,
Share Capital,53318338.6,53578122.75,54397850,53593122.75,63759620.14,71383883.14,,72827883.13,72827883,74083883.14,75885883.14,
Statutory Reserve,6641198.1,7606034,8257520.35,7606034,11387794,0,,170910185,15620638.79,16272832.07,18872858.5,
