Account_Name,2019,2020,2021,2022
Total Assets,1602742627,1922805951,2070959237,2209776677
Total Deposit liabilities,1023936381,1148508668,1242000588,1332497673
Total Equity,348494138,386710824,436927480,469055800
Total Liabilities,1263650874,1536095127,1634031757,1740720877
Cash & Cash Equivalent,126161088,154677987,165807842,150386392
Financial Investments,218554560,285174658,437931242,488614494
Gross Loan Portfolio,905898148,1014523454,1040330186,1.027056145
Net Loan Portfolio,854944397,971785108,997591840,1066045543
Current Year's Surplus,,17594228,,-11728803
Share Capital,94040516,121120367,148054368,153370471
Statutory Reserve,36256597,39514815,37272789,48394692
