Account Name,2019,2020,2021,2022,2023*
Total Assets,"45,621,444","49,793,828","56,660,235","60,579,585","47,562,451"
Total Deposit liabilities,"19,185,646","23,669,977","30,511,071","28,679,000","33,372,882"
Total Equity,"21,784,320","23,142,108","23,368,609","23,404,025","13,961,213"
Total Liabilities,"23,837,124","26,651,721","34,068,710","36,872,613","33,601,238"
Cash & Cash Equivalent,"5,913,431","8,460,800","7,528,330","3,906,758","4,254,981"
Financial Investments,"914,790","1,121,325","1,811,583","1,825,751",0
Gross Loan Portfolio,"35,170,961","35,483,959","38,088,372","44,270,076","39,675,444"
Net Loan Portfolio,"34,556,455","34,818,647","37,148,812","43,353,686","39,250,917"
Current Year's Surplus,"2,763,822","1,306,803","853,669","1,171,271","-1,170,167"
Share Capital,"11,986,229","11,986,229","11,986,229","13,324,579","13,328,478"
Statutory Reserve,"2,552,633","2,934,091","3,104,825","3,404,384","478,205"
