Account Name,2019,2020,2021,2022,2023
Total Assets,"8,432,323,283","9,144,307,882","10,470,223,736","11,887,605,966","13,380,422,968"
Total Deposit Liabilities,"6,290,093,029","6,864,888,284","7,935,970,950","9,183,165,337","10,421,787,092"
Total Equity,"1,847,566,350","2,050,421,795","2,342,752,943","2,492,028,881","2,758,541,745"
Total Liabilities,"6,584,756,933","7,093,886,087","8,127,470,793","9,395,577,085","10,621,881,223"
Cash & Cash Equivalent,"448,510,967","640,432,593","1,223,803,506","1,466,423,767","1,518,225,934"
Financial Investments,"205,372,217","129,569,217","254,495,353","277,159,335","323,178,853"
Gross Loan Portfolio,"7,267,006,204","7,725,650,490","8,368,098,735","9,471,061,048","10,879,738,103"
Net Loan Portfolio,"7,126,202,308","7,575,178,217","8,205,091,894","9,286,837,211","10,668,024,575"
Current Year's Surplus,"805,102,590","838,620,016","986,508,610","1,113,874,103","1,215,622,410"
Share Capital,"506,009,469","572,267,522","682,755,758","800,227,998","913,546,477"
Statutory Reserve,"329,481,214","363,225,214","402,945,558","447,495,522","496,120,418"
