Account_Name,2020,2021,2022,2023
Total Assets,42034351000,47546933,53783580174,
Total Deposit liabilities,31188264000,34212867000,39428925000,
Total Equity,6386753000,7960973000,9261895000,
Total Liabilities,34674495000,38488815000,44521784000,
Cash & Cash Equivalent,5106415000,5248820000,808390000,
Financial Investments,1962102000,3177504000,9275926000,
Gross Loan Portfolio,38804173000,39378377000,45074284000,
Net Loan Portfolio,32798794000,36351455000,41316978000,
Current Year's Surplus,610144000,942849000,369596000,
Share Capital,2022438000,2382779000,2987001000,
Statutory Reserve,1188896000,1473792000,1670253000,
