Account_Name,2010,2020,2021,2022
Total Assets,151015729,196334663,203152195,234164331
Total Deposit liabilities,128604214,142919971,144513444,169508703
Total Equity,15259572,44827009,49711439,55317494
Total Liabilities,135756157,151507655,153440755,178846838
Cash & Cash Equivalent,19363224,80999768,84096060,114000530
Financial Investments,472260,3322320,3460532,3460532
Gross Loan Portfolio,112905266,23022185,122972158,123584731
Net Loan Portfolio,112905266,94715902,101006133,102709901
Current Year's Surplus,3541956,11304214,1153474,-9988
Share Capital,10494697,20354392,22976846,27792649
Statutory Reserve,531274,6683483,7653773,8454012
